trial,target_x,built_x,instruction,success,success_rate
1,2,1,place block right field,False,0.9
2,0,0,place block left field,True,0.9
3,2,2,place block right field,True,0.9
4,2,1,place block right field,False,0.9
5,0,0,place block left field,True,0.9
6,0,0,place block left field,True,0.9
7,0,0,place block left field,True,0.9
8,2,2,place block right field,True,0.9
9,2,2,place block right field,True,0.9
10,1,1,place block eye,True,0.9
11,0,0,place block left field,True,0.9
12,0,0,place block left field,True,0.9
13,1,1,place block eye,True,0.9
14,0,0,place block left field,True,0.9
15,1,1,place block eye,True,0.9
16,0,0,place block left field,True,0.9
17,1,1,place block eye,True,0.9
18,0,0,place block left field,True,0.9
19,2,1,place block right field,False,0.9
20,0,0,place block left field,True,0.9
21,2,2,place block right field,True,0.9
22,1,1,place block eye,True,0.9
23,2,2,place block right field,True,0.9
24,0,0,place block left field,True,0.9
25,0,0,place block left field,True,0.9
26,0,0,place block left field,True,0.9
27,1,1,place block eye,True,0.9
28,1,1,place block eye,True,0.9
29,0,0,place block left field,True,0.9
30,2,2,place block right field,True,0.9
31,2,2,place block right field,True,0.9
32,0,0,place block left field,True,0.9
33,0,1,place block left field,False,0.9
34,1,1,place block eye,True,0.9
35,2,2,place block right field,True,0.9
36,0,0,place block left field,True,0.9
37,0,0,place block left field,True,0.9
38,0,0,place block left field,True,0.9
39,1,1,place block eye,True,0.9
40,0,0,place block left field,True,0.9
41,2,2,place block right field,True,0.9
42,1,1,place block eye,True,0.9
43,1,1,place block eye,True,0.9
44,2,2,place block right field,True,0.9
45,1,2,place block eye,False,0.9
46,2,2,place block right field,True,0.9
47,2,2,place block right field,True,0.9
48,2,2,place block right field,True,0.9
49,0,0,place block left field,True,0.9
50,0,0,place block left field,True,0.9
51,0,0,place block left field,True,0.9
52,0,0,place block left field,True,0.9
53,2,2,place block right field,True,0.9
54,0,0,place block left field,True,0.9
55,2,2,place block right field,True,0.9
56,2,2,place block right field,True,0.9
57,2,2,place block right field,True,0.9
58,0,0,place block left field,True,0.9
59,0,0,place block left field,True,0.9
60,2,2,place block right field,True,0.9
61,2,2,place block right field,True,0.9
62,1,1,place block eye,True,0.9
63,1,2,place block eye,False,0.9
64,2,2,place block right field,True,0.9
65,2,2,place block right field,True,0.9
66,2,2,place block right field,True,0.9
67,2,2,place block right field,True,0.9
68,2,2,place block right field,True,0.9
69,0,0,place block left field,True,0.9
70,2,2,place block right field,True,0.9
71,2,2,place block right field,True,0.9
72,2,2,place block right field,True,0.9
73,0,1,place block left field,False,0.9
74,1,1,place block eye,True,0.9
75,0,0,place block left field,True,0.9
76,0,1,place block left field,False,0.9
77,0,0,place block left field,True,0.9
78,2,2,place block right field,True,0.9
79,0,0,place block left field,True,0.9
80,2,2,place block right field,True,0.9
81,2,2,place block right field,True,0.9
82,0,0,place block left field,True,0.9
83,2,2,place block right field,True,0.9
84,2,2,place block right field,True,0.9
85,2,2,place block right field,True,0.9
86,1,1,place block eye,True,0.9
87,1,0,place block eye,False,0.9
88,0,0,place block left field,True,0.9
89,2,2,place block right field,True,0.9
90,2,2,place block right field,True,0.9
91,0,0,place block left field,True,0.9
92,0,0,place block left field,True,0.9
93,0,0,place block left field,True,0.9
94,0,0,place block left field,True,0.9
95,1,1,place block eye,True,0.9
96,0,0,place block left field,True,0.9
97,2,2,place block right field,True,0.9
98,2,2,place block right field,True,0.9
99,0,0,place block left field,True,0.9
100,1,0,place block eye,False,0.9
